url,zimu_num,shuzi,zifu_num,url_T_zifu_num,inner,out,sum,bili,req_type_num,hanjian_host_num,iframe_num,eval_num,location_num,setTimeout_num,setInterval_num,scriptObjectsrc_num,scriptObjectsetAttribute_num,scriptObjectinnerHTML_num,windowopen_num
http://www.blinkgroup.com,20,0,5,0,78,8,86,0.9069,7,2,0,0,0,0,0,0,0,0,0
http://www.keyfuture.com,19,0,5,0,78,8,86,0.9069,7,2,0,0,1,0,0,0,0,0,0
http://www.prowoodsrl.it,19,0,5,0,78,8,86,0.9069,7,2,0,0,4,0,0,0,0,0,0
http://www.screenshot-saves.com,25,0,6,1,78,8,86,0.9069,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.earthcontrolsys.com,25,0,5,0,78,8,86,0.9069,7,2,0,0,0,0,0,0,0,0,0
http://www.lunaticjazz.com,21,0,5,0,78,8,86,0.9069,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.smartscan.ro,18,0,5,0,78,8,86,0.9069,7,2,2,0,1,0,0,0,0,0,0
http://www.up.dnpequipment.com,24,0,6,0,39,5,44,0.88636,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.skidki-yuga.ru,19,0,6,1,2,3,5,0.4,3,1,0,0,1,0,0,0,0,0,0
http://www.kfc.i.illuminationes.com,28,0,7,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
http://www.c11n4.i.teaserguide.com,24,3,7,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0
http://www.putevka-volgograd.ru,25,0,6,1,13,25,38,0.3421,17,9,0,0,0,0,2,0,0,0,0
http://www.googlescrn.com,20,0,5,0,0,2,2,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.1-atraffickim.tf,20,1,6,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.10-trafficimj.tf,19,2,6,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.11-atraasikim.tf,19,2,6,1,2,0,2,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.12-tgaffickvcmb.tf,21,2,6,1,41,10,51,0.803922,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.13-ctscfficim.tf,19,2,6,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.14-traffgficimhd.tf,22,2,6,1,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.15-etrafficim.tf,19,2,6,1,100,123,223,0.44843,47,31,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.16-taficimf.tf,17,2,6,1,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.actiagroup.com,20,0,5,0,0,26,26,0,3,2,6,0,0,3,0,0,0,0,0
http://www.importkauf.ch,19,0,5,0,2,0,2,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.lambrusco.it,18,0,5,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.megatron.ch,17,0,5,0,16,7,23,0.695652,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.imagerieduroc.com,23,0,5,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.cc-isobus.com,18,0,6,1,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.prowoodsrl.it,19,0,5,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
http://www.17-gtrahgficim.tf,20,2,6,1,0,2,2,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.18-trafdsfgficimg.tf,23,2,6,1,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.19-itraaffifm.tf,19,2,6,1,12,1,13,0.923077,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.2-traffickimb.tf,20,1,6,1,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.20-trafficidmj.tf,20,2,6,1,8,0,8,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.21-tdsrafficimf.tf,21,2,6,1,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.22-gyudrafasicim.tf,22,2,6,1,7,0,7,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
